[14:52:11,863] 
message:
err_desc:在其上下文中，该请求的地址无效。
stacktrace:   在 System.Net.Sockets.Socket.DoBind(EndPoint endPointSnapshot, SocketAddress socketAddress)
   在 System.Net.Sockets.Socket.Bind(EndPoint localEP)
   在 AsyncSocketLibrary.Common.Server.SocketListener.StartListen() 位置 d:\GitHubData\AsyncSocketLibrary\Common\Server\SocketListener.cs:行号 65
   在 AsyncSocketLibrary.Common.Server.SocketListener..ctor(Func`2 dataProcessor) 位置 d:\GitHubData\AsyncSocketLibrary\Common\Server\SocketListener.cs:行号 51
   在 TestServer.MainClass.Main(String[] args) 位置 d:\GitHubData\AsyncSocketLibrary\TestServer\Program.cs:行号 20
source:System ERROR [AsyncSocketLibrary.Common.LogManager.Log] [1]
[14:53:29,044] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,044] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,044] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,045] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,068] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,072] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,077] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,078] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,078] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,081] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,081] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,084] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,086] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,086] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,088] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,089] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,089] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,090] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,092] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,092] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,094] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,098] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,098] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,100] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,101] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,103] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,105] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,106] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,107] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,107] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,108] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,110] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,112] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,112] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,117] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,117] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,119] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,119] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,120] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,126] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,126] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,128] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,128] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,132] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,132] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,135] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,135] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,141] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,141] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,141] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,144] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,144] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,146] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,148] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,151] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,152] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,153] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,155] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,156] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,157] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,159] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,161] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,163] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,169] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,169] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,170] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,173] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,174] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,177] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,177] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,179] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,183] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,183] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,184] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,186] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,188] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,188] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,191] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,193] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,193] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,195] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,195] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,198] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,200] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,200] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,202] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,202] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,210] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,210] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,210] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,213] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,213] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,213] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,215] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,216] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,218] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,218] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,223] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,223] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,223] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
